time,x,y,vx,vy
7776000,2696091681.0705066,149197354501.32864,-29852.69630146983,591.0359429867707
7797600,2051223185.1107392,149207339800.3231,-29855.022961100338,462.2823608538531
7819200,1406316453.608408,149214543820.50146,-29856.79312510792,333.5194527026878
7840800,761383507.7172073,149218966412.5975,-29858.006754222253,204.74963407627743
7862400,116436369.21067882,149220607479.52463,-29858.66381974669,75.97532070080314
7884000,-528512939.7462014,149219466976.3789,-29858.76430355927,-52.801071561427136
7905600,-1173452396.8254533,149215544910.44092,-29858.30819811351,-181.57712675903554
7927200,-1818369979.764535,149208841341.1767,-29857.29550643897,-310.3504288986375
7948800,-2463253666.594794,149199356380.23767,-29855.726242141613,-439.11856199190925
7970400,-3108091435.869919,149187090191.45944,-29853.600429403934,-567.8791101026583
7992000,-3752871266.8943925,149172042990.85974,-29850.9181029849,-696.629657393897
8013600,-4397581139.951937,149154215046.63516,-29847.67930821964,-825.3677881749172
8035200,-5042209036.533946,149133606679.15707,-29843.884101018946,-954.091086948365
8056800,-5686742939.567906,149110218260.9664,-29839.532547868548,-1082.797138457315
8078400,-6331170833.645795,149084050216.7674,-29834.62472582816,-1211.483527732342
8100000,-6975480705.25245,149055103023.4204,-29829.160722530334,-1340.1478401385916
